coding,meaning
1,A1BG
2,AAMDC
3,AARSD1
4,ABCA2
5,ABHD14B
6,ABL1
7,ABO
8,ABRAXAS2
9,ACAA1
10,ACADM
11,ACADSB
12,ACAN
13,ACE
14,ACE2
15,ACHE
16,ACOT13
17,ACOX1
18,ACP1
19,ACP5
20,ACP6
21,ACRBP
22,ACRV1
23,ACSL1
24,ACTA2
25,ACTN2
26,ACTN4
27,ACVRL1
28,ACY1
29,ACY3
30,ACYP1
31,ADA
32,ADA2
33,ADAM12
34,ADAM15
35,ADAM22
36,ADAM23
37,ADAM8
38,ADAM9
39,ADAMTS1
40,ADAMTS13
41,ADAMTS15
42,ADAMTS16
43,ADAMTS4
44,ADAMTS8
45,ADAMTSL2
46,ADAMTSL4
47,ADAMTSL5
48,ADCYAP1R1
49,ADD1
50,ADGRB3
51,ADGRD1
52,ADGRE1
53,ADGRE2
54,ADGRE5
55,ADGRF5
56,ADGRG1
57,ADGRG2
58,ADGRV1
59,ADH1B
60,ADH4
61,ADIPOQ
62,ADM
63,ADRA2A
64,AFAP1
65,AFM
66,AFP
67,AGBL2
68,AGER
69,AGR2
70,AGR3
71,AGRN
72,AGRP
73,AGT
74,AGXT
75,AHCY
76,AHNAK
77,AHNAK2
78,AHSA1
79,AHSG
80,AHSP
81,AIDA
82,AIF1
83,AIF1L
84,AIFM1
85,AK1
86,AK2
87,AKAP12
88,AKR1B1
89,AKR1B10
90,AKR1C4
91,AKR7L
92,AKT1S1
93,AKT2
94,AKT3
95,ALCAM
96,ALDH1A1
97,ALDH2
98,ALDH3A1
99,ALDH5A1
100,ALMS1
101,ALPI
102,ALPP
103,AMBN
104,AMBP
105,AMDHD2
106,AMFR
107,AMIGO1
108,AMIGO2
109,AMN
110,AMOT
111,AMOTL2
112,AMPD3
113,AMY1A_AMY1B_AMY1C
114,AMY2A
115,AMY2B
116,ANG
117,ANGPT1
118,ANGPT2
119,ANGPTL1
120,ANGPTL2
121,ANGPTL3
122,ANGPTL4
123,ANGPTL7
124,ANK2
125,ANKMY2
126,ANKRA2
127,ANKRD54
128,ANP32C
129,ANPEP
130,ANXA1
131,ANXA10
132,ANXA11
133,ANXA2
134,ANXA3
135,ANXA4
136,ANXA5
137,AOC1
138,AOC3
139,AP1G2
140,AP2B1
141,AP3B1
142,AP3S2
143,APBB1IP
144,APCS
145,APEX1
146,APLP1
147,APOA1
148,APOA2
149,APOA4
150,APOB
151,APOBR
152,APOC1
153,APOD
154,APOE
155,APOF
156,APOH
157,APOL1
158,APOM
159,APP
160,APPL2
161,APRT
162,ARAF
163,AREG
164,ARF6
165,ARFIP1
166,ARG1
167,ARG2
168,ARHGAP1
169,ARHGAP25
170,ARHGAP30
171,ARHGAP45
172,ARHGAP5
173,ARHGEF1
174,ARHGEF10
175,ARHGEF12
176,ARHGEF5
177,ARID3A
178,ARID4B
179,ARL13B
180,ARL2BP
181,ARMCX2
182,ARNT
183,ARNTL
184,ARSA
185,ARSB
186,ART3
187,ART5
188,ARTN
189,ASAH1
190,ASAH2
191,ASGR1
192,ASGR2
193,ASPN
194,ASPSCR1
195,ASRGL1
196,ASS1
197,ATF2
198,ATF4
199,ATG16L1
200,ATG4A
201,ATOX1
202,ATP1B1
203,ATP1B2
204,ATP1B3
205,ATP1B4
206,ATP2B4
207,ATP5F1D
208,ATP5IF1
209,ATP5PO
210,ATP6AP2
211,ATP6V1D
212,ATP6V1F
213,ATP6V1G1
214,ATP6V1G2
215,ATRAID
216,ATRN
217,ATXN10
218,ATXN2
219,ATXN2L
220,ATXN3
221,AXIN1
222,AXL
223,AZI2
224,AZU1
225,B2M
226,B3GAT3
227,B3GNT7
228,B4GALT1
229,B4GAT1
230,BABAM1
231,BACH1
232,BAG3
233,BAG4
234,BAG6
235,BAIAP2
236,BAMBI
237,BANK1
238,BAP18
239,BATF
240,BAX
241,BCAM
242,BCAN
243,BCAT1
244,BCAT2
245,BCHE
246,BCL2
247,BCL2L1
248,BCL2L11
249,BCL2L15
250,BCL7A
251,BCL7B
252,BCR
253,BDNF
254,BECN1
255,BEX3
256,BGLAP
257,BGN
258,BHLHE40
259,BHMT2
260,BID
261,BIN2
262,BIRC2
263,BLMH
264,BLNK
265,BLOC1S2
266,BLOC1S3
267,BLVRB
268,BMP10
269,BMP4
270,BMP6
271,BMPER
272,BNIP2
273,BNIP3L
274,BOC
275,BOLA1
276,BOLA2_BOLA2B
277,BPIFA2
278,BPIFB1
279,BPIFB2
280,BRAP
281,BRD1
282,BRD2
283,BRD3
284,BRDT
285,BRK1
286,BRME1
287,BRSK2
288,BSG
289,BSND
290,BST1
291,BST2
292,BTC
293,BTD
294,BTLA
295,BTN1A1
296,BTN2A1
297,BTN3A2
298,BTNL10
299,C19orf12
300,C1GALT1C1
301,C1QA
302,C1QBP
303,C1QL2
304,C1QTNF1
305,C1QTNF5
306,C1QTNF6
307,C1QTNF9
308,C1R
309,C1RL
310,C1S
311,C2
312,C2CD2L
313,C2orf69
314,C3
315,C4BPB
316,C5
317,C7
318,C7orf50
319,C8B
320,C9
321,C9orf40
322,CA1
323,CA11
324,CA12
325,CA13
326,CA14
327,CA2
328,CA3
329,CA4
330,CA5A
331,CA6
332,CA7
333,CA8
334,CA9
335,CABP2
336,CACNA1C
337,CACNA1H
338,CACNB1
339,CACNB3
340,CACYBP
341,CADPS
342,CALB1
343,CALB2
344,CALCA
345,CALCB
346,CALCOCO1
347,CALCOCO2
348,CALY
349,CAMKK1
350,CAMLG
351,CAMSAP1
352,CANT1
353,CAPG
354,CAPN3
355,CAPS
356,CARHSP1
